LETRA;NOMBRE;OBJETO;SERVICIOS;UBICACIÓN;TEL;WEB;TAG;
A;AMESPRE A.C. Asociación Mexicana de Empresas de Servicios Prendarios;Representación y defensa de la industria prendaria.;Investigación y análisis del sector de servicios prendarios.;Av. Vasconcelos 210 Ote., San Pedro Garza García.;;"contacto@amespre.org
www.amespre.org
";Servicios prendarios/Responsabilidad social;
A;Andares, ABP;Fomentar apoyo hacia personas con discapacidad o deficiencias físicas, hereditarias o psicosomáticas que requieran de atención especial. Asociación que incluye y capacita a personas adultas con discapacidad intelectual en Monterrey Nuevo León.;"Ofrece servicios residenciales donde se impulsa la vida independiente para personas con discapacidad intelectual.
Capacitación en herramientas de empleabilidad en procesos de maquila y un proyecto ecológico.
Prácticas laborales y contrataciones en empleos formales. Capacitación a familiares para acompañar sus proyectos de vida.";Carretera Nacional km 255 Nte.., Col. Congregación Los Rodríguez Santiago, N.L;8184510048 y 49  ;andares@andares.org.mx;Educación/Niñez/Discapacidad;
A;ANVRIDN A.C.;Apoyar a personas con discapacidad neuromotora, así como gestionar ante las autoridades o instituciones la creación de centros de rehabilitación ;Donación y préstamo de equipo ortopédico como: Sillas de ruedas, andaderas, muletas, bastones, camas de hospital, grúas de traslado de pacientes, tanques de oxígeno, y otros artículos necesarios para la rehabilitación temporal o permanente de personas con discapacidad neuromotora.;Juan Escutia 952 norte, entre José Ma. Arteaga y Calzada Francisco I Madero, Col. Obrera, C.P. 64010 Monterrey, Nuevo León;8183742830 8112578691;anvridnac@yahoo.com.mx  www.anvridnac.org;Discapacidad;
A;Arthemisas por la Equidad, A.C.;Promover el respeto a los derechos humanos de las mujeres, de las niñas y de las adolescentes para conseguir la igualdad entre géneros en el Estado de Nuevo León, mediante la difusión de una cultura igualitaria y equitativa en las esferas pública y privada y el impulso de propuestas de reformas de ley y de políticas para garantizar la efectividad de los derechos de las mujeres.; ;;;irmaochoa47@yahoo.com.mx;Mujeres;
A;Asistencia Integral para la Superación Personal, A.C.;Asistencia jurídica para la tutela de los derechos de la niñez, así como para la readaptación social de las personas, educación o capacitación para el trabajo;"Gestión de certificado SEP de primaria y secundaria para personas adultas. 
Cursos Asesorías examen admisión UANL PREPA y FACULTADES
Asesoría y acompañamiento jurídico para resolver controversias legales.
Investigación jurídica
Edición y publicación de libros
Impartición de talleres, cursos, seminarios y diplomados para la superación personal
";Tapia 1310 Ote.. esquina con Platón Sánchez, Col. Centro Monterrey, N.L.;8181795383;asisupe.ac@gmail.com;Educación/Legal;
A;Alzheimer de Monterrey, A.C.;Promover el bienestar biológico, psicológico y social de personas con Alzheimer y enfermedades similares o relacionadas a la misma, a la vez que dar apoyo y orientación a los familiares de las personas que enfrentan la enfermedad.;"Atención personalizada y acompañamiento a familias vía telefónica o por alguna plataforma tecnológica. 
Dan informes sobre asilos, médicos, centros de día, artículos de localización, etc.
Se entregan pañales, sillas de ruedas, camas de hospital, baños portátiles y otros artículos para facilitar el cuidado en casa a quienes lo necesitan.
Se ofrecen becas a personas con demencia de escasos recursos o abandonadas para que puedan ingresar a un asilo y ser cuidados y atendidos las 24 horas.
Grupos de apoyo y cursos en línea para pacientes y para personas cuidadoras. https://educacionalz.mx/educacion/
Información sobre la enfermedad, artículos para cuidadores, actividades educativas que disminuyen las formas de violencia y fomentan el trato digno.
";;"811 880 3433
";"comunicacion@alz.mx; contacto@alz.mx  www.alzheimermonterrey.com / http://linktr.ee/alzmty";Alzheimer/Personas mayores;
A;"Asociación de Egresados de la Facultad de Derecho y Criminología de la UANL ""Don José Alejandro de Treviño y Gutiérrez"", A.C.";"Colaborar con la Facultad de Derecho y Criminología de la UANL, en apoyo a sus programas y proyectos académicos; Impartir y promover conferencias, seminarios, investigaciones, publicaciones y demás actividades que conlleven al desarrollo académico y la superación profesional de sus Asociados";Seminarios, conferencias, desayunos, etc. ;Avenida Rodrigo Gómez 1123, Colonia Central en Monterrey;"8183093362.

";asociacionegresadosfacdyc@gmail.com;Legal/Educación;
A;Asociación de Esclerosis Múltiple Concierto de Vida, A.C.;"Cuidado, rehabilitación, asesoría, asistencia médica, terapias de rehabilitación, apoyo moral, psicológico, proporcionar medicinas y medicamentos a las personas asociadas que padecen esclerosis múltiple; así como el apoyo moral y psicológico y asesoría a sus familiares.";Atención integral de pacientes con esclerosis múltiple;"Albino Espinosa #1047 Pte. Col. Centro de Monterrey, N.L. 
C.P. 64000";8120895091;asociacion@conciertodevida.org.mx  http://conciertodevida.org.mx/;Salud;
A;Asociación de Hemofilia Siloé, A.C.;Apoyar a personas que con hemofilia en sectores y regiones de escasos recursos y grupos vulnerables por edad, sexo o discapacidad. Gestionar, otorgar y capacitar sobre los implementos médicos, brindar atención integral. ;"Capacitación sobre el manejo en la Hemofilia, indicaciones sobre cuándo y cómo aplicar el medicamento.
Apoyo para conseguir el medicamento a bajo costo o de manera gratuita, vinculación con otras organizaciones para tratamientos ante enfermedades consideradas raras.

";5ta Avenida 103 Col. Guerra Guadalupe, N.L. C.P. 67140 Planta Alta;8184604393;siloenl_@hotmail.com www.hemofilianl.org;Salud;
A;Asociación de Psicólogos Profesionales de Nuevo León, A.C.;Unir esfuerzos y conocimientos para integrar nuevos recursos y acciones dentro del campo de práctica profesional de la psicología, además de concientizar a la sociedad con el objetivo de generar una cultura preventiva y de responsabilidad social sobre la importancia de la salud mental y sus campos de aplicación, enalteciendo la práctica profesional de las y los profesionales de la psicología y su integración e influencia en la sociedad. ;Consulta psicológica, cursos, talleres, diplomados, atención a empresas;Ignacio Allende 1140 Ote. Centro, Monterrey, Barrio antiguo;8131077582;contacto@psicologosnl.com  http://www.psicologosnl.com/;Salud mental/Niñez/Familia;
A;Asociación de Sordos de Nuevo León, A.C.;Difundir ante la sociedad las problemáticas de las personas sordas, así como promover la conciencia de los sectores sociales para apoyar con su aportación los programas en beneficio de las personas sordas.; ;No disponible;8113741232;asordosnl@yahoo.com.mx;Discapacidad;
A;Asociación de Trabajadores Especiales, A.C.;Ayuda técnica y profesional en medicina y rehabilitación.;Capacitación para el trabajo y vinculación para apoyos técnicos.;Lucio Cabañas 6909 Nte., Col. Tierra y Libertad, Monterrey . ;81 2167 4362;;Discapacidad;
A;Asociación Lobos MG, A.C. Infancia Plena;Proteger los derechos humanos de los niños y niñas, prevenir y erradicar la violencia contra las mujeres en periodo de embarazo, lactancia y crianza temprana. ;Educación en lactancia materna para mujeres en periodo de embarazo y lactancia, Asesoría legal a mujeres en periodo de lactancia con relación a sus derechos laborales, Talleres de fomento a la lectura en primera infancia. ;;;nfanciaplena@hotmail.com  www.infanciaplena.org  @infanciaplena1 en Facebook e Instagram ;Legal/Mujeres/Niñez;
A;Asociación Mexicana de Hoteles de Nuevo León, A.C.;Difundir la importancia de la hotelería y del turismo, fomentando la participación de los asociados y de otras instituciones públicas o privadas, para impulsar su desarrollo.;;"Av. Fundidora 501 Local 60, Primer Nivel de CINTERMEX Col. Obrera C.P. 64010 en Monterrey, N.L.


";01 818 340 1372;recepcion@hotelesmonterrey.org;Empresa;
A;Asociación Nacional de Mujeres Jefas de Empresa ;La misión de AMMJE es promover el liderazgo empresarial de las mujeres, fortaleciendo su participación activa, estratégica y transformadora en el desarrollo económico y social de México;;;;ammje.org;Mujeres/Empresa;
A;Asociación Regiomontana de Fibrosis Quística, A.C.;Promover el conocimiento tanto de la fibrosis quística como una enfermedad congénita e incurable, así como la problemática que enfrentan los pacientes y sus familiares entre la población de todo el país mediante campañas sobre esta enfermedad. ;;Ruperto Martínez 1338 Pte. entre Porfirio Díaz y Vallarta, Col. Centro, Monterrey N.L.  C.P. 64000 ;8183492009 8183658447  8183433870;arfq@att.net.mx  www.fibrosisqmonterrey.org;Salud;
A;Autismo Arena (Niños Autistas ABP);Ayudar y brindar información a madres, padres y familiares de personas con autismo, se proporciona ayuda integral, terapias de apoyo y ocupacionales para niñas, niños, adolescentes y personas adultas, se dignifica y promueve la integración autista en el ámbito educativo y a la sociedad en general.; ;Antonio Caso 600, Col. Valle del Contry C.P.  67173, Guadalupe, N.L. ;8181156165 8183488000;"dirección@autismoarena.org.mx; informes@autismoarena.org.mx  www.autismoarena.org.mx";Niñez/Autismo ;  
A;Autismo, A.B.P.;Ayudar a las personas con problemas de autismo y desordenes relacionados, realizar estudios e investigaciones para tratar de prevenir el autismo y desordenes relacionados, proporcionar terapias relacionadas con el tema, brindar educación y capacitación a personas afectadas, así como a los padres o familiares que sufren de problemas de autismo y desordenes relacionados;a) Acercar a la comunidad médica al Autismo, capacitación médica en Autismo, difusión de las primeras señales del Autismo en la sociedad, comunidad médica y comunidad universitaria, apoyo a padres de familia para la creación de Centros Ocupacionales e Investigación sobre las causas del Autismo. ;Paris 336, Col. Mirador, C.P. 64070, Monterrey;8120894436;autismoabp@gmail.com  https://www.autismoabp.mx/   https://www.unicoen115.org/;Niñez/Autismo ;"
"
A;Auxilio Legal y Asistencia Social, A.C.  (ALAS);"Brindar apoyo, auxilio, asistencia y asesoría legal gratuita, a personas físicas de escasos recursos, y a personas morales, tales como asociaciones de beneficencia, sociedades civiles, mercantiles, o de cualquier otra índole, que tengan como finalidad la asistencia social y que no cuenten con la posibilidad de contratar un abogado particular para la defensa y el seguimiento de los asuntos legales de cualquier naturaleza.
";Representación legal en los siguientes casos: Pensión alimenticia, divorcios, convivencias, separación conyugal y medidas cautelares, Juicio sucesorio, declaración de ausencia, custodia de menores, patrimonio familiar y asistencia legal general.;"Matamoros 622 Pte., colonia Centro, Monterrey,
Nuevo León.

";83438649;bernabazch@gmail.com;Legal;
A;Avance por los Derechos de México, A.C.;Apoyar en sus necesidades más básicas a personas de escasos  recursos, así como a las familias de las personas privadas de la libertad con donativos en especie tratamientos médicos, asesoría legal, médica, psicológica y en derechos humanos.;Asesoría, Atención Legal y Atención Psicológica;Porfirio Díaz 310 norte, entre Espinosa y M.M. de Llano. Centro C.P. 64000. Monterrey NL;8121352935;"lg6258@yahoo.com.mx; tesoreriagpoavance@gmail.com  http://avance-por-los-derechos.webnode.mx";Familia/Legal;
C;C.T. Portal de Luz, A.C.;Rehabilitación de alcohólicos y farmacodependientes.;Grupos de autoayuda y terapia familiar para reinserción.;Hidalgo 714, Centro, García, N.L.;81 2369 1371;;Prevención de Adicciones ;
C;C.T. Regalo, A.C.;Rehabilitación de personas con adicciones.;Tratamiento de alcoholismo y farmacodependencia.;San Pablo #110, Col. San Gilberto, Santa Catarina. ;81 1234 3218;;Prevención de Adicciones ;
C;C.T. Sin Miedo a Vivir, A.C.;Rehabilitación de adicciones con enfoque biopsicosocial.;Tratamiento residencial para varones y apoyo familiar.;Juárez #118, San Sebastián, Guadalupe.;81 1768 3939;;Prevención de Adicciones ;
C;CANADEM, Cámara Nacional de la Mujer, A.C. ;"Planear, desarrollar y realizar diversas actividades en beneficio de la mujer y su familia.
Respetar a los diversos sectores de la sociedad mexicana que se interesen en difundir y promover, sus actividades y productos y/o servicios que por su propia naturaleza profesional, social, cultural tecnológica y/o científica impactan positivamente a la mujer.  Creación de seminarios, talleres y cursos relacionados con el desarrollo y bienestar de la mujer y la familia.
";Asesoramiento y Apoyo Psicológico, Educación y capacitación, Servicio de salud, Asistencia Legal, Programas de medios de vida, Promoción de igualdad de género Redes de apoyo;Dr. Ángel Martínez Villareal # 2819 Col. Chepevera, Monterrey NL Mex; 81 1553 7589;canadem.nl@gmail.com;Mujeres/Cáncer;
C;Casa Azul para el apoyo, tratamiento e investigación de las alteraciones craneofaciodentales, A.C.;Apoyar moral, económica y profesionalmente a las personas con alteraciones craneofaciodentales y sus familias. Principalmente mediante tratamientos. ;Atención integral de los pacientes de escasos recursos con labio y paladar hendido.;Diego de Montemayor s/n cruz con 5 de Mayo Col. Palo Blanco San Pedro, Garza García N.L.;8184788404 8184788403;casaazulac@hotmail.com  www.casaazulac.org;Niñez/Discapacidad/Salud;
C;Casa de Rescate, A.C.;Rehabilitación de adicciones y atención a menores abandonados.;Internamiento terapéutico y asistencia en salud y educación.;Mirto #263, Frac. Artemio Treviño, Apodaca. ;81 2320 6299;;Prevención de Adicciones ;
C;Institución Normativa de los Indigentes, A.C. (Casa INDI);"Promover el respeto a los derechos humanos; remediar -en la media de lo posible las necesidades básicas del ser humano, como tener un lugar decoroso para pasar la noche; proporcionarles comida y ropa; realizar programas de apoyo; llevar a cabo programas asistenciales, como servicios médicos, psicológicos, lúdicos, psiquiátricos, asistenciales, culturales, deportivos y espirituales; todos ellos de manera gratuita; y, con esto, poder acoger a todas las personas que lo necesiten.";"Albergue nocturno.
Horarios de los servicio del comedor: desayuno 8:0.0 a.m.; Comida 12:00 p.m.; mujeres 1:00 p.m.
hombres y; Cena 5:00 p.m. mujeres 6:00 p.m. hombres.
Servicio Médico. 9:00 a.m. a 5:00 pm,
Apoyo psicológico y Orientación legal";"Calle Miguel Nieto 2506. Col. Industrial en Monterrey, N.L.
";81 8374 7221;;Migración/Asistencia Social/Albergue ;
C;Casa Mi Ángel, A.B.P.;"Fundar, sostener, administrar, fomentar y apoyar moral y económicamente a grupos e instituciones, centros, academias y otras similares que tengan por objetivo la protección y ayuda a personas de escasos recursos. - Fundar, sostener, administrar dispensarios médicos, centros de asistencia social y albergues, centros de distribución de despensas, centros de subsidio para gastos médicos y funerarios, centros donde se pueda atender toda aquella necesidad que pueda tener el ser humano y que esté al alcance de ""La Asociación"" cubrir, como institución de albergue o refugio. ";"Atención psicológica 
Programa de apoyo a mujeres embarazadas y a madres de bebés de 0 a 2 años. (pañales, leche, artículos de higiene, etc.)";Mariano Escobedo 113 Sur, entre Arambarri y Modesto Arreola, Col. Centro, Monterrey .;8183459987  8183459980;"admon.casamiangel@gmail.com; casamiangel.abp@gmail.com www.casamiangel.org; www.casamiangelabp.com.mx";Educación/ Niñez/Mujeres;
C;Casa Monarca, ayuda Humanitaria al Migrante, A.B.P.;Protección de niñas, niños y adolescentes migrantes, garantizando sus derechos de condición migratoria, así como satisfacer requerimientos básicos de alimentación, vestidos, vivienda y salud, proporcionar asesoría jurídica, apoyo psicológico y orientación social, desarrollo social, apoyo en la defensa y promoción de los derechos humanos, entre otros.;"Entrega de alimentos, ropa, calzado, artículos de aseo personal. 
Atención médica.
Orientación jurídica.
Albergue ";Hidalgo #100 66350 Santa Catarina, Nuevo León, México;8183906305;contacto@casamonarca.org.mx  www.casamonarca.org.mx;Migración/Albergue;
C;Casa para Ancianos Monte Carmelo, A.C.;Realizar actividades tendientes a proporcionar ayuda y mejoramiento en el régimen de vida de las personas adultas mayores que carezcan de familiares que los auxilien. ;Casa hogar para personas mayores. Actividades de convivencia social con personas mayores. Recibe donaciones económicas, de insumos y de tiempo en beneficio de las personas mayores.;Lamosa #3301 Birmania, Col. Valle del Mirador en Monterrey N.L. C.P. 64750;8183595396;montecarmelo@prodigy.net.mx  montecarmelo@prodigy.net.mx;Personas mayores/ Asilo;
C;Casa Paterna La Gran Familia, A.C.;Resguardo de niñas, niños y adolescentes (NNA).;Residencia, educación y capacitación para acogimiento familiar.;Carretera. Nacional km 255, Santiago, N.L. ;81 8266 0060;;Niñez/Educación ;
C;CEMAR, A.C.;Rehabilitación y readaptación a la sociedad de individuos marginados, alcohólicos, drogadictos e inadaptados sociales en general, así como  la impartición de tratamiento psiquiátrico de tipo dual para su rehabilitación. ;Rehabilitación de adicciones ;Alfonso XIII, 801, Colonia Los Reyes, municipio Juárez, Nuevo León, C.P. 672777;;cesar841_@hotmail.com ;Prevención de Adicciones ;
C;Centro de Apoyo a Personas en Duelo, A.C. CAPED;"La Asociación es una organización sin fines de lucro que brinda apoyo a personas de escasos recursos, comunidades indígenas y grupos vulnerables. Sus actividades incluyen asistencia y rehabilitación médica, apoyo jurídico para la protección de menores y la reinserción social, rehabilitación de personas con adicciones, ayuda con servicios funerarios, orientación social y capacitación para el trabajo, desarrollo de comunidades indígenas y atención a personas con discapacidad.
";Ofrecer servicios basados en el humanismo, de alta calidad e innovación, promoviendo entre la sociedad atendida, actitudes de responsabilidad y compromiso con ellos mismos y hacia los demás, propiciando su desarrollo humano integral, generando sentidos de identificación, pertenencia y trascendencia.;"Dr. Martínez 129, Col. Los Doctores, Monterrey, Mexico

";81 8680 3804;caped.monterrey@caped.edu.mx  https://www.facebook.com/CAPEDMonterrey;Duelo;
C;Centro de Apoyo y Convivencia Mi Alto Refugio, A.C.;Creación de estancias y asilos para personas de escasos recursos de la tercera edad que se encuentren en estado de desprotección o desempleo. ;Brindan apoyo con alimento, salud, educación y valores a la población más vulnerable como son adultos mayores, niñas y niños, madres en desamparo, personas con discapacidad y familias en extrema pobreza, que habitan en los municipios de Guadalupe, Juárez y Cadereyta en el estado de Nuevo León;Luis IX 5401, esquina Salvador I, Fracc. Villa los Reyes, Guadalupe, N.L.;8183612696  8186607081;"cacmarac@hotmail.com; bmolvera@hotmail.com";Asistencia social/ Comedor ;
C;Centro de Atención Psicológica en Adicciones, A.C.;Realizar actividades para la prevención, rehabilitación de las adicciones como drogadicción, alcoholismo, tabaquismo, fármaco dependencia, o cualquier otra similar a las mismas a personas de escasos recursos. ;"Tratamiento y rehabilitación de adicciones: 
•	Consulta externa: Duración de seis meses, de 2 a 3 sesiones por semana los primeros tres y 1 sesión por semana los tres meses restantes
•	Internamiento: Duración de 3 meses a tiempo indefinido, dependiendo del progreso o circunstancias de pacientes. Instalaciones en Linares, N.L.
•	Conferencias preventivas y capacitaciones para empresas e instituciones de cualquier nivel académico, siendo estos respaldados por la Secretaría de Salud, la Secretaría de Educación, la Secretaría de Trabajo y Previsión Social y la Dirección General de Centros para la Formación de Trabajo.
";Ave. Uno 620, Col. Central de Carga, Guadalupe, N.L.;8180317179;bobbysite_2000@yahoo.com  www.capa.com.mx;Prevención de Adicciones ;
C;Centro de Ayuda a Enfermos de Cáncer, A.C.;Asociación sin fines lucro, legalmente constituida, que trabaja para la prevención y diagnóstico de cáncer de una manera integral. Nuestro trabajo es a nivel nacional, llevamos estudios de diagnóstico a lo largo y ancho del país de manera gratuita, detectamos casos de cáncer y otras enfermedades para su seguimiento, canalización y apoyo;"Servicios de Capacitación en Empoderamiento y Salud, Terapia y apoyo emocional, consultas y orientación médica, consultas y orientación nutrimental
Jornadas médicas de salud
";Homero 508 Int. 304 B Polanco V Sección, Cd. de México ;5591838287  8008907707;presidencia@hazloposible.org.mx;Educación/ Organizaciones ;
C;Centro Cultural Lumen, A.C.;Realizar actividades académicas, culturales, de investigación científica o tecnológica, así como  la organización de diplomados talleres, licenciaturas y maestrías para la formación de profesionales en la atención de personas mayores.;Ofrece servicios educativos de maestría y bachillerato técnico especializado en la atención de personas mayores;Washington 215 Ote. Entre Galeana y Guerrero  Col. Centro C.P. 64000 Monterrey;8183434913;clumen@lumen.edu.mx   www.lumen.edu.mx;Educación / Personas mayores;
C;Centro de Equitación Terapéutica Vercodi, A.C.;Brindar servicio de rehabilitación mediante el uso de caballos a niñez y adolescentes con cualquier discapacidad por accidentes o enfermedades, para su mejor desarrollo integral como seres humanos, haciendo accesible el servicio a personas de bajos recursos. ;Ofrece terapias asistidas con caballos y a bajo costo para personas de todas las edades, personas con discapacidad, necesidades especiales de comportamiento, de conducta, de lenguaje. Clases de equitación y terapias antiestrés para familias e instituciones.;Higuera 233 entre Nogales y Granado, Col. Parques de Santo Domingo, C.P. 66449, San Nicolas de los Garza;8118822720;vercodi.ac@live.com  https://vercodiac.org/;Niñez/Discapacidad;
C;Centro de Estudios Itzam Ná, A.C.;Promueve para niñas, niños, adolescentes, mujeres y hombres el respeto y ejercicio de los derechos sexuales y reproductivos, la equidad e igualdad de género, las relaciones libres de violencia, la vivencia libre, responsable y placentera de la sexualidad con autonomía, dignidad, justicia e igualdad para el desarrollo de sus potencialidades en ambientes saludables.;Programas educativos y de apoyo a la subsistencia.;;5556053814;"
web: http://www.itzamnaac.org
";Mujeres/Educación ;
C;Centro de Estudios Jurídicos de Monterrey;Desarrollar actividades de investigación, enseñanza y difusión del conocimiento jurídico, a través de programas académicos, capacitación, publicaciones y proyectos que fortalezcan la formación profesional y la cultura de la legalidad y los derechos humanos.;Cursos de actualización jurídica y defensa de derechos.;;;;Legal/Educación;
